Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 628,Galaxy,9.3,10.7,Pisces,136,1,36,24,+15°47',15,47,15.78333333,0.41887902,0.275471134,M 74
NGC 477,Galaxy,13.9,101000,Andromeda,121,1,21,20.25,+40°29',40,29,40.48333333,0.353429174,0.706567459,
NGC 364,Galaxy,14.2,101900,Cetus,104,1,4,16,-00°48',0,-48,-0.8,0.27925268,-0.013962634,
NGC 64,Galaxy,14.1,102000,Cetus,17,0,17,4.25,-06°49',-6,-49,-6.816666667,0.074176493,-0.118973277,
NGC 90,Galaxy,13.8,102350,Andromeda,21,0,21,5.25,+22°24',22,24,22.4,0.091629786,0.390953752,
NGC 949,Galaxy,11.9,10300,Triangulum,230,2,30,37.5,+37°08',37,8,37.13333333,0.654498469,0.648098929,
NGC 850,Galaxy,14,103000,Cetus,211,2,11,32.75,-01°29',-1,-29,-1.483333333,0.57159533,-0.025889051,
NGC 631,Galaxy,15,103850,Pisces,136,1,36,24,+05°50',5,50,5.833333333,0.41887902,0.101810873,
NGC 102,Galaxy,14.4,104000,Cetus,24,0,24,6,-13°57',-13,-57,-13.95,0.104719755,-0.243473431,
NGC 334,Galaxy,14.6,104000,Sculptor,58,0,58,14.5,-35°06',-35,-6,-35.1,0.253072742,-0.612610567,
NGC 647,Galaxy,14.3,104000,Cetus,139,1,39,24.75,-09°14',-9,-14,-9.233333333,0.43196899,-0.161152068,
NGC 286,Galaxy,15.3,105000,Cetus,53,0,53,13.25,-13°06',-13,-6,-13.1,0.231256126,-0.228638132,
NGC 312,Galaxy,12.4,106000,Phoenix,56,0,56,14,-52°46',-52,-46,-52.76666667,0.244346095,-0.920952069,
NGC 959,Galaxy,12.5,10700,Triangulum,232,2,32,38,+35°29',35,29,35.48333333,0.663225116,0.619300996,
NGC 342,Galaxy,15.4,107000,Cetus,100,1,0,15,-06°46',-6,-46,-6.766666667,0.261799388,-0.118100613,
NGC 365,Galaxy,14.2,107000,Sculptor,104,1,4,16,-35°07',-35,-7,-35.11666667,0.27925268,-0.612901456,
NGC 497,Galaxy,13,107000,Cetus,122,1,22,20.5,-00°52',0,-52,-0.866666667,0.357792497,-0.015126187,Arp 8
NGC 567,Galaxy,15,107000,Cetus,127,1,27,21.75,-10°15',-10,-15,-10.25,0.379609112,-0.178896248,
NGC 73,Galaxy,14.4,107500,Cetus,18,0,18,4.5,-15°19',-15,-19,-15.31666667,0.078539816,-0.267326264,
NGC 861,Galaxy,14.7,108000,Triangulum,215,2,15,33.75,+35°54',35,54,35.9,0.589048623,0.626573201,
NGC 131,Galaxy,13.2,11140,Sculptor,29,0,29,7.25,-33°15',-33,-15,-33.25,0.126536371,-0.580321976,
NGC 967,Galaxy,13.8,113000,Cetus,232,2,32,38,-17°13',-17,-13,-17.21666667,0.663225116,-0.30048752,
NGC 215,Galaxy,14.1,114000,Phoenix,40,0,40,10,-56°12',-56,-12,-56.2,0.174532925,-0.98087504,
NGC 331,Galaxy,15.5,117000,Cetus,47,0,47,11.75,-02°43',-2,-43,-2.716666667,0.205076187,-0.047414778,
NGC 794,Galaxy,12.7,117500,Aries,202,2,2,30.5,+18°22',18,22,18.36666667,0.532325422,0.320558806,
NGC 378,Galaxy,13.8,119000,Sculptor,106,1,6,16.5,-30°10',-30,-10,-30.16666667,0.287979327,-0.526507658,
NGC 154,Galaxy,15.2,120000,Cetus,34,0,34,8.5,-12°39',-12,-39,-12.65,0.148352986,-0.22078415,
NGC 22,Galaxy,14.8,121000,Pegasus,9,0,9,2.25,+27°49',27,49,27.81666667,0.039269908,0.48549242,
NGC 323,Galaxy,12.5,121000,Phoenix,56,0,56,14,-52°58',-52,-58,-52.96666667,0.244346095,-0.924442727,
NGC 280,Galaxy,14.6,122000,Andromeda,52,0,52,13,+24°21',24,21,24.35,0.226892803,0.424987673,
NGC 746,Galaxy,13.7,12300,Andromeda,157,1,57,29.25,+44°55',44,55,44.91666667,0.510508806,0.783943722,
NGC 15,Galaxy,15.1,123500,Pegasus,9,0,9,2.25,+21°37',21,37,21.61666667,0.039269908,0.377282007,
NGC 143,Galaxy,15.3,124000,Cetus,31,0,31,7.75,-22°33',-22,-33,-22.55,0.135263017,-0.393571746,
NGC 159,Galaxy,14.9,124000,Phoenix,34,0,34,8.5,-55°47',-55,-47,-55.78333333,0.148352986,-0.973602834,
NGC 363,Galaxy,15.6,128000,Cetus,106,1,6,16.5,-16°32',-16,-32,-16.53333333,0.287979327,-0.288561103,
NGC 648,Galaxy,14.7,129000,Cetus,138,1,38,24.5,-17°49',-17,-49,-17.81666667,0.427605667,-0.310959495,
NGC 639,Galaxy,14.1,131000,Sculptor,138,1,38,24.5,-29°55',-29,-55,-29.91666667,0.427605667,-0.522144335,
NGC 190,Galaxy,15.7,134000,Pisces,38,0,38,9.5,+07°03',7,3,7.05,0.165806279,0.123045712,
NGC 888,Galaxy,14.5,136000,Horologium,217,2,17,34.25,-59°51',-59,-51,-59.85,0.597775269,-1.044579557,
NGC 606,Galaxy,14.4,147000,Pisces,134,1,34,23.5,+21°25',21,25,21.41666667,0.410152374,0.373791348,
NGC 919,Galaxy,15.4,148000,Aries,226,2,26,36.5,+27°12',27,12,27.2,0.637045177,0.474729557,
NGC 640,Galaxy,15.5,151000,Cetus,139,1,39,24.75,-09°24',-9,-24,-9.4,0.43196899,-0.16406095,
NGC 941,Galaxy,12.5,15300,Cetus,228,2,28,37,-01°09',-1,-9,-1.15,0.645771823,-0.020071286,
NGC 145,Galaxy,13.2,16000,Cetus,31,0,31,7.75,-05°09',-5,-9,-5.15,0.135263017,-0.089884456,Arp 19
NGC 417,Galaxy,15.3,164000,Cetus,111,1,11,17.75,-18°08',-18,-8,-18.13333333,0.309795942,-0.316486371,
NGC 37,Galaxy,14.9,165000,Phoenix,11,0,11,2.75,-56°57',-56,-57,-56.95,0.047996554,-0.993965009,
NGC 283,Galaxy,15.4,168500,Cetus,53,0,53,13.25,-13°09',-13,-9,-13.15,0.231256126,-0.229510797,
NGC 667,Galaxy,15.4,173000,Cetus,144,1,44,26,-22°55',-22,-55,-22.91666667,0.453785606,-0.399971287,
NGC 100,Galaxy,13.2,17500,Pisces,24,0,24,6,+16°29',16,29,16.48333333,0.104719755,0.287688438,
NGC 134,Galaxy,10.3,17600,Sculptor,30,0,30,7.5,-33°14',-33,-14,-33.23333333,0.130899694,-0.580031088,
